# Summary
Sequence,Total Nucleotides,GC Content (%)
1671,1770,0
1673,1772,0
1675,1774,0
1677,1776,0
1679,1778,0
1681,1780,0
1683,1782,0
1685,1784,0
1687,1786,0
1689,1788,0
1691,1790,0
1693,1792,0
1695,1794,0
1697,1796,0
1699,1798,0
1701,1800,0
1703,1802,0
1705,1804,0
1707,1806,0
1709,1808,0
1711,1810,0
1713,1812,0
1715,1814,0
1717,1816,0
1719,1818,0
1721,1820,0
1723,1822,0
1725,1824,0
1727,1826,0
1729,1828,0
1731,1830,0
1733,1832,0
1735,1834,0
1737,1836,0
1739,1838,0
1741,1840,0
1743,1842,0
1745,1844,0
1747,1846,0
1749,1848,0
1751,1850,0
1753,1852,0
1755,1854,0
1757,1856,0
1759,1858,0
1761,1860,0
1763,1862,0
1765,1864,0
1767,1866,0
1769,1868,0
1771,1870,0
1773,1872,0
1775,1874,0
1777,1876,0
1779,1878,0
1781,1880,0
1783,1882,0
1785,1884,0
1787,1886,0
1789,1888,0
1791,1890,0
1793,1892,0
1795,1894,0
1797,1896,0
1799,1898,0
1801,1900,0
1803,1902,0
1805,1904,0
1807,1906,0
1809,1908,0
1811,1910,0

# GpC Islands (window=100, step=2)
Window Start,Window End,Count per 100 nt
1,100,13
3,102,14
5,104,14
7,106,15
9,108,15
11,110,15
13,112,15
15,114,14
17,116,14
19,118,14
21,120,13
23,122,13
25,124,13
27,126,13
29,128,12
31,130,13
33,132,13
35,134,13
37,136,13
39,138,13
41,140,13
43,142,13
45,144,14
47,146,13
49,148,13
51,150,14
53,152,14
55,154,14
57,156,14
59,158,13
61,160,13
63,162,14
65,164,14
67,166,14
69,168,14
71,170,15
73,172,14
75,174,13
77,176,13
79,178,12
81,180,12
83,182,12
85,184,12
87,186,12
89,188,12
91,190,12
93,192,12
95,194,13
97,196,14
99,198,14
101,200,13
103,202,14
105,204,13
107,206,12
109,208,12
111,210,13
113,212,13
115,214,13
117,216,13
119,218,13
121,220,13
123,222,13
125,224,13
127,226,13
129,228,12
131,230,12
133,232,12
135,234,11
137,236,11
139,238,11
141,240,10
143,242,10
145,244,9
147,246,9
149,248,8
151,250,9
153,252,8
155,254,8
157,256,8
159,258,9
161,260,8
163,262,8
165,264,9
167,266,9
169,268,9
171,270,8
173,272,8
175,274,9
177,276,9
179,278,9
181,280,9
183,282,9
185,284,9
187,286,9
189,288,9
191,290,9
193,292,8
195,294,7
197,296,7
199,298,7
201,300,7
203,302,7
205,304,7
207,306,8
209,308,8
211,310,7
213,312,7
215,314,7
217,316,7
219,318,7
221,320,7
223,322,6
225,324,6
227,326,6
229,328,6
231,330,6
233,332,6
235,334,6
237,336,6
239,338,6
241,340,6
243,342,6
245,344,7
247,346,7
249,348,6
251,350,6
253,352,6
255,354,6
257,356,5
259,358,5
261,360,5
263,362,5
265,364,5
267,366,5
269,368,6
271,370,6
273,372,5
275,374,6
277,376,6
279,378,6
281,380,6
283,382,6
285,384,6
287,386,7
289,388,7
291,390,7
293,392,7
295,394,8
297,396,8
299,398,9
301,400,8
303,402,8
305,404,8
307,406,7
309,408,8
311,410,8
313,412,8
315,414,8
317,416,8
319,418,8
321,420,8
323,422,8
325,424,8
327,426,9
329,428,9
331,430,9
333,432,10
335,434,10
337,436,10
339,438,10
341,440,10
343,442,9
345,444,9
347,446,9
349,448,9
351,450,9
353,452,9
355,454,9
357,456,9
359,458,9
361,460,9
363,462,9
365,464,8
367,466,7
369,468,7
371,470,7
373,472,7
375,474,6
377,476,7
379,478,7
381,480,7
383,482,7
385,484,6
387,486,6
389,488,7
391,490,7
393,492,7
395,494,6
397,496,5
399,498,6
401,500,6
403,502,7
405,504,7
407,506,6
409,508,6
411,510,6
413,512,6
415,514,6
417,516,7
419,518,7
421,520,7
423,522,8
425,524,7
427,526,7
429,528,7
431,530,7
433,532,6
435,534,7
437,536,7
439,538,7
441,540,7
443,542,7
445,544,7
447,546,7
449,548,7
451,550,7
453,552,7
455,554,7
457,556,7
459,558,7
461,560,7
463,562,7
465,564,7
467,566,7
469,568,7
471,570,7
473,572,7
475,574,8
477,576,7
479,578,7
481,580,7
483,582,7
485,584,7
487,586,7
489,588,6
491,590,6
493,592,6
495,594,7
497,596,6
499,598,6
501,600,6
503,602,5
505,604,5
507,606,6
509,608,6
511,610,6
513,612,6
515,614,6
517,616,6
519,618,6
521,620,6
523,622,5
525,624,5
527,626,6
529,628,6
531,630,7
533,632,7
535,634,6
537,636,6
539,638,6
541,640,6
543,642,6
545,644,6
547,646,6
549,648,6
551,650,6
553,652,6
555,654,6
557,656,6
559,658,6
561,660,6
563,662,6
565,664,6
567,666,6
569,668,6
571,670,7
573,672,8
575,674,7
577,676,8
579,678,8
581,680,8
583,682,9
585,684,9
587,686,9
589,688,9
591,690,9
593,692,8
595,694,8
597,696,9
599,698,9
601,700,10
603,702,10
605,704,9
607,706,9
609,708,9
611,710,9
613,712,9
615,714,9
617,716,9
619,718,9
621,720,9
623,722,9
625,724,9
627,726,8
629,728,8
631,730,8
633,732,8
635,734,8
637,736,9
639,738,9
641,740,9
643,742,9
645,744,10
647,746,10
649,748,10
651,750,10
653,752,10
655,754,10
657,756,10
659,758,11
661,760,11
663,762,11
665,764,11
667,766,11
669,768,12
671,770,11
673,772,10
675,774,10
677,776,11
679,778,11
681,780,10
683,782,10
685,784,11
687,786,11
689,788,11
691,790,11
693,792,11
695,794,10
697,796,10
699,798,10
701,800,9
703,802,10
705,804,10
707,806,10
709,808,11
711,810,11
713,812,11
715,814,11
717,816,11
719,818,11
721,820,12
723,822,12
725,824,12
727,826,12
729,828,12
731,830,11
733,832,11
735,834,10
737,836,10
739,838,11
741,840,11
743,842,10
745,844,11
747,846,11
749,848,11
751,850,11
753,852,12
755,854,12
757,856,12
759,858,12
761,860,12
763,862,12
765,864,13
767,866,12
769,868,12
771,870,12
773,872,11
775,874,12
777,876,11
779,878,11
781,880,11
783,882,10
785,884,10
787,886,10
789,888,11
791,890,11
793,892,11
795,894,11
797,896,11
799,898,11
801,900,10
803,902,10
805,904,11
807,906,11
809,908,10
811,910,9
813,912,9
815,914,9
817,916,9
819,918,8
821,920,8
823,922,8
825,924,8
827,926,8
829,928,8
831,930,8
833,932,8
835,934,8
837,936,7
839,938,7
841,940,7
843,942,7
845,944,6
847,946,6
849,948,6
851,950,6
853,952,5
855,954,5
857,956,5
859,958,5
861,960,5
863,962,4
865,964,4
867,966,4
869,968,5
871,970,5
873,972,5
875,974,4
877,976,4
879,978,4
881,980,5
883,982,5
885,984,5
887,986,5
889,988,5
891,990,6
893,992,6
895,994,6
897,996,6
899,998,6
901,1000,6
903,1002,5
905,1004,5
907,1006,5
909,1008,6
911,1010,6
913,1012,6
915,1014,7
917,1016,7
919,1018,7
921,1020,7
923,1022,7
925,1024,8
927,1026,8
929,1028,8
931,1030,8
933,1032,8
935,1034,8
937,1036,8
939,1038,8
941,1040,9
943,1042,9
945,1044,9
947,1046,10
949,1048,10
951,1050,10
953,1052,10
955,1054,10
957,1056,10
959,1058,10
961,1060,10
963,1062,10
965,1064,10
967,1066,10
969,1068,9
971,1070,9
973,1072,9
975,1074,9
977,1076,10
979,1078,9
981,1080,9
983,1082,9
985,1084,9
987,1086,8
989,1088,9
991,1090,9
993,1092,9
995,1094,9
997,1096,9
999,1098,9
1001,1100,9
1003,1102,9
1005,1104,9
1007,1106,9
1009,1108,8
1011,1110,9
1013,1112,8
1015,1114,9
1017,1116,9
1019,1118,9
1021,1120,9
1023,1122,9
1025,1124,9
1027,1126,9
1029,1128,9
1031,1130,10
1033,1132,10
1035,1134,10
1037,1136,10
1039,1138,10
1041,1140,9
1043,1142,9
1045,1144,10
1047,1146,9
1049,1148,9
1051,1150,9
1053,1152,8
1055,1154,8
1057,1156,8
1059,1158,9
1061,1160,9
1063,1162,10
1065,1164,10
1067,1166,10
1069,1168,10
1071,1170,10
1073,1172,10
1075,1174,10
1077,1176,9
1079,1178,9
1081,1180,9
1083,1182,10
1085,1184,10
1087,1186,9
1089,1188,8
1091,1190,8
1093,1192,8
1095,1194,8
1097,1196,8
1099,1198,8
1101,1200,9
1103,1202,9
1105,1204,9
1107,1206,10
1109,1208,10
1111,1210,9
1113,1212,8
1115,1214,9
1117,1216,9
1119,1218,9
1121,1220,9
1123,1222,9
1125,1224,8
1127,1226,8
1129,1228,7
1131,1230,7
1133,1232,8
1135,1234,8
1137,1236,8
1139,1238,8
1141,1240,8
1143,1242,8
1145,1244,7
1147,1246,7
1149,1248,7
1151,1250,7
1153,1252,7
1155,1254,7
1157,1256,7
1159,1258,6
1161,1260,6
1163,1262,5
1165,1264,6
1167,1266,7
1169,1268,7
1171,1270,7
1173,1272,7
1175,1274,7
1177,1276,7
1179,1278,7
1181,1280,7
1183,1282,6
1185,1284,6
1187,1286,6
1189,1288,7
1191,1290,7
1193,1292,8
1195,1294,8
1197,1296,8
1199,1298,8
1201,1300,7
1203,1302,7
1205,1304,7
1207,1306,6
1209,1308,6
1211,1310,6
1213,1312,6
1215,1314,5
1217,1316,5
1219,1318,5
1221,1320,5
1223,1322,5
1225,1324,5
1227,1326,5
1229,1328,5
1231,1330,5
1233,1332,4
1235,1334,4
1237,1336,4
1239,1338,4
1241,1340,5
1243,1342,5
1245,1344,5
1247,1346,5
1249,1348,5
1251,1350,5
1253,1352,5
1255,1354,5
1257,1356,5
1259,1358,5
1261,1360,5
1263,1362,5
1265,1364,4
1267,1366,3
1269,1368,3
1271,1370,3
1273,1372,3
1275,1374,3
1277,1376,3
1279,1378,3
1281,1380,4
1283,1382,4
1285,1384,4
1287,1386,3
1289,1388,3
1291,1390,3
1293,1392,2
1295,1394,3
1297,1396,3
1299,1398,4
1301,1400,4
1303,1402,4
1305,1404,4
1307,1406,4
1309,1408,4
1311,1410,4
1313,1412,4
1315,1414,4
1317,1416,4
1319,1418,4
1321,1420,4
1323,1422,5
1325,1424,5
1327,1426,5
1329,1428,5
1331,1430,5
1333,1432,5
1335,1434,5
1337,1436,5
1339,1438,5
1341,1440,5
1343,1442,5
1345,1444,5
1347,1446,5
1349,1448,5
1351,1450,5
1353,1452,5
1355,1454,5
1357,1456,5
1359,1458,5
1361,1460,5
1363,1462,5
1365,1464,5
1367,1466,5
1369,1468,5
1371,1470,5
1373,1472,5
1375,1474,5
1377,1476,5
1379,1478,6
1381,1480,5
1383,1482,5
1385,1484,5
1387,1486,5
1389,1488,5
1391,1490,5
1393,1492,4
1395,1494,4
1397,1496,3
1399,1498,3
1401,1500,4
1403,1502,4
1405,1504,4
1407,1506,4
1409,1508,4
1411,1510,4
1413,1512,5
1415,1514,5
1417,1516,5
1419,1518,5
1421,1520,4
1423,1522,4
1425,1524,4
1427,1526,4
1429,1528,4
1431,1530,4
1433,1532,4
1435,1534,4
1437,1536,3
1439,1538,3
1441,1540,4
1443,1542,4
1445,1544,4
1447,1546,4
1449,1548,4
1451,1550,4
1453,1552,4
1455,1554,4
1457,1556,4
1459,1558,4
1461,1560,4
1463,1562,4
1465,1564,4
1467,1566,4
1469,1568,4
1471,1570,4
1473,1572,4
1475,1574,4
1477,1576,4
1479,1578,4
1481,1580,4
1483,1582,4
1485,1584,5
1487,1586,5
1489,1588,5
1491,1590,5
1493,1592,5
1495,1594,5
1497,1596,5
1499,1598,5
1501,1600,4
1503,1602,4
1505,1604,4
1507,1606,5
1509,1608,5
1511,1610,5
1513,1612,4
1515,1614,4
1517,1616,4
1519,1618,4
1521,1620,4
1523,1622,4
1525,1624,4
1527,1626,5
1529,1628,5
1531,1630,5
1533,1632,5
1535,1634,5
1537,1636,5
1539,1638,5
1541,1640,4
1543,1642,4
1545,1644,4
1547,1646,4
1549,1648,4
1551,1650,4
1553,1652,4
1555,1654,4
1557,1656,4
1559,1658,4
1561,1660,4
1563,1662,4
1565,1664,4
1567,1666,5
1569,1668,5
1571,1670,5
1573,1672,5
1575,1674,6
1577,1676,6
1579,1678,5
1581,1680,5
1583,1682,4
1585,1684,4
1587,1686,4
1589,1688,4
1591,1690,4
1593,1692,4
1595,1694,4
1597,1696,4
1599,1698,4
1601,1700,4
1603,1702,4
1605,1704,3
1607,1706,3
1609,1708,3
1611,1710,3
1613,1712,3
1615,1714,3
1617,1716,3
1619,1718,3
1621,1720,4
1623,1722,4
1625,1724,3
1627,1726,3
1629,1728,3
1631,1730,3
1633,1732,3
1635,1734,3
1637,1736,3
1639,1738,3
1641,1740,3
1643,1742,3
1645,1744,3
1647,1746,3
1649,1748,4
1651,1750,4
1653,1752,5
1655,1754,5
1657,1756,5
1659,1758,6
1661,1760,6
1663,1762,6
1665,1764,5
1667,1766,5
1669,1768,5
1671,1770,5
1673,1772,4
1675,1774,4
1677,1776,4
1679,1778,4
1681,1780,4
1683,1782,4
1685,1784,4
1687,1786,4
1689,1788,4
1691,1790,4
1693,1792,4
1695,1794,4
1697,1796,4
1699,1798,5
1701,1800,5
1703,1802,5
1705,1804,5
1707,1806,5
1709,1808,5
1711,1810,5
1713,1812,5
1715,1812,5
1717,1812,5
1719,1812,4
1721,1812,4
1723,1812,4
1725,1812,4
1727,1812,4
1729,1812,4
1731,1812,4
1733,1812,5
1735,1812,5
1737,1812,5
1739,1812,5
1741,1812,5
1743,1812,5
1745,1812,5
1747,1812,6
1749,1812,4
1751,1812,3
1753,1812,3
1755,1812,3
1757,1812,1
1759,1812,1
1761,1812,1
1763,1812,2
1765,1812,2
1767,1812,2
1769,1812,2
1771,1812,2
1773,1812,2
1775,1812,2
1777,1812,2
1779,1812,2
1781,1812,3
1783,1812,3
1785,1812,3
1787,1812,3
1789,1812,4
1791,1812,4
1793,1812,5
1795,1812,5
1797,1812,0
1799,1812,0
1801,1812,0
1803,1812,0
1805,1812,0
1807,1812,0
1809,1812,0
1811,1812,0
